word,type,lang,count
Monsanto,ORG,en,1
KashmirBlossming,GPE,en,1
Chinese National flag 🇨🇳,WORK_OF_ART,en,1
Massacred,EVENT,en,1
https://t.co/nOXb18XEbJ,ORG,en,1
Xi Jinping's,PERSON,en,1
https://t.co/e9cUPu9Zx3,CARDINAL,en,1
https://t.co/fNPoZu1Gfs,ORG,en,1
Qinghai Yantianhuan International Fertilizer Ltd.,ORG,en,1
Silk Transport,ORG,en,1
8.6bn,MONEY,en,2
https://t.co/LOUMirZL13,PRODUCT,en,1
Mawlawi Mohammad Yaqoob Mujahid,PERSON,en,1
the Yemen war,EVENT,en,1
https://t.co/4YwVVwnOg8,ORG,en,1
Multiple Fatalities and Casualties https://t.co/5KBfo7VXsY,ORG,en,1
#Pakistani https://t.co/EJqbpG1VGp,MONEY,en,1
The Afghan Air Force,ORG,en,1
#ChitraTripathi #ChinaGotTalent,MONEY,en,1
Alhamdulilah for being,MISC,ca,1
Jinnah,PER,ca,1
Humble,ORG,ca,1
reminder to recite,PER,ca,1
Surah Al-Kahf,PER,ca,1
Duā for the Umma…,ORG,ca,1
checks &amp,ORG,en,1
https://t.co/RLim1ViIy9,ORG,en,1
Rubina,PERSON,en,1
DilMeinHaiRubin,PERSON,en,1
https://t.co/eZQva0JqvN,ORG,en,1
https://t.co/R2FU8561wO,GPE,en,1
https://t.co/YW6EHVZHTj,PERSON,en,1
https://t.co/WxDnh7gGcR,NORP,en,1
https://t.co/eosY2Zz9D0,PERSON,en,1
https://t.co/dXlY4o0JoE,PERSON,en,1
BadalataKashmir https://t.co/7PJyaWwClv,ORG,en,1
#TiananmenandandGalwan https://t.co/QrKFxOOKd3,MONEY,en,1
https://t.co/6fRHqYy2es,PERSON,en,1
"https://t.co/HDmZEKBDyF
Human Rights Congress",ORG,en,1
https://t.co/t21KsXJYgy,GPE,en,1
https://t.co/nknB86btET,ORG,en,1
https://t.co/O1kfMyyewk,PERSON,en,1
"https://t.co/JSi9krmWfb
PM Imran Khan",WORK_OF_ART,en,1
https://t.co/oCn6WgpN30,GPE,en,1
"https://t.co/b0NtuBN6lX

A",PERSON,en,1
https://t.co/zzwgYKNprJ,ORG,en,1
https://t.co/NcGzdiR8JT,NORP,en,1
https://t.co/GI0t8vQUxh,GPE,en,1
https://t.co/hRUezyo9vj,GPE,en,1
https://t.co/O5KwAKB6E9,NORP,en,1
https://t.co/rl92Q9x78I,NORP,en,1
https://t.co/vpxnOYUr5A,PERSON,en,1
https://t.co/rQUleqOYyb,PERSON,en,1
"https://t.co/P2mppJtwxO
",PERSON,en,1
https://t.co/VTJJWxyKpY,ORG,en,1
https://t.co/kaauWcUXsH,ORG,en,1
https://t.co/jhbK8CXw1N,GPE,en,1
"https://t.co/kF3aLLQ5A6
China",PERSON,en,1
https://t.co/JaxbjXblTM,PERSON,en,1
https://t.co/rhcLLg5UNa,GPE,en,1
"https://t.co/j1jgyKSbYo
Strengthening",PERSON,en,1
"1,000,000",CARDINAL,en,1
"https://t.co/XwKjOdZsYo
Injustice",ORG,en,1
"https://t.co/pFbLkZMJAm
",NORP,en,1
https://t.co/nGuBm09f4u,NORP,en,1
"https://t.co/OmA3UgRiEm
China",PERSON,en,1
https://t.co/w7y3CZOZP5,PERSON,en,1
https://t.co/1qnNablMLo,CARDINAL,en,1
"https://t.co/VEkYSM5aoO
",PERSON,en,1
https://t.co/gIqj141KVI,NORP,en,1
https://t.co/WEwSuoymLP,GPE,en,1
